are there any jobs requiring bs ?	answer(_4015,(job(_4015),req_deg(_4015,_4032),const(_4032,BS)))
what jobs give me 40000 to work in houston on internet and web with perl ?	answer(J,(job(J),salary_greater_than(J,40000,year),loc(J,L),const(L,houston),area(J,A),const(A,internet),area(J,B),const(B,web),language(J,G),const(G,perl)))
what jobs are there in houston ?	answer(_5569,(job(_5569),loc(_5569,_5586),const(_5586,houston)))
show the jobs with the title systems programmer requiring 2 years of experience	answer(A,(job(A),title(A,T),const(T,Programmer),req_exp(A,E),const(E,2)))
are there any jobs in houston ?	answer(A,(job(A),loc(A,B),const(B,houston)))
whats all there ?	answer(J,job(J))
do you have any jobs involving 'c++' on aix ?	answer(J,(job(J),language(J,L),const(L,c++),platform(J,P),const(P,aix)))
list the jobs in visual 'c++' ?	answer(_1405,(job(_1405),language(_1405,_1420),const(_1420,'visual c++')))
show me 'c++' jobs requiring a bscs in austin ?	answer(A,(language(A,L),const(L,c++),job(A),req_deg(A,D),const(D,BSCS),loc(A,C),const(C,austin)))
what jobs use 'c++' on mac and pay 70000 ?	answer(A,(job(A),language(A,C),const(C,c++),platform(A,I),const(I,mac),salary_greater_than(A,70000,year)))
are there any jobs using 'c++' with dell ?	answer(A,(job(A),language(A,C),const(C,c++),company(A,B),const(B,Dell)))
show me programmer jobs in tulsa ?	answer(A,(title(A,T),const(T,Programmer),job(A),loc(A,C),const(C,tulsa)))
show me the jobs that require 2 years experience	answer(A,(job(A),req_exp(A,B),const(B,2)))
what jobs are there in austin with a salary of at least 100000 per year ?	answer(A,(job(A),loc(A,P),const(P,austin),salary_greater_than(A,100000,year)))
what are the 'c++' jobs in austin requiring a bscs ?	answer(A,(language(A,L),const(L,c++),job(A),loc(A,C),const(C,austin),req_deg(A,D),const(D,BSCS)))
show me houston jobs using 'c++' on pc ?	answer(A,(loc(A,C),const(C,houston),job(A),language(A,L),const(L,c++),platform(A,P),const(P,pc)))
what are the software engineering jobs available using ada ?	answer(C,(job(C),language(C,L),const(L,ada),title(C,B),const(B,'Software Engineer')))
what microsoft jobs do not require a bscs ?	answer(J,(company(J,M),const(M,Microsoft),job(J),\+((req_deg(J,D),const(D,BSCS)))))
are there any jobs requiring ba ?	answer(_2117,(job(_2117),req_deg(_2117,_2134),const(_2134,BA)))
what jobs in dallas require a bscs and 'c++' but not java ?	answer(A, (job(A),loc(A,B),const(B,dallas),req_deg(A,C),const(C,BSCS),language(A,D),const(D,c++),\+((language(A,E),const(E,java)))))
tell me the jobs using powerbuilder ?	answer(_6773,(job(_6773),language(_6773,_6790),const(_6790,powerbuilder)))
what jobs in austin require 10 years of experience ?	answer(A,(job(A),loc(A,P),const(P,austin),req_exp(A,E),const(E,10)))
what jobs are there in usa ?	answer(_6877,(job(_6877),country(_6877,_6894),const(_6894,usa)))
tell me the jobs on mvs ?	answer(_5997,(job(_5997),platform(_5997,_6014),const(_6014,mvs)))
tell me the jobs requiring ba using cobol ?	answer(_261,(job(_261),req_deg(_261,_278),const(_278,BA),language(_261,_288),const(_288,cobol)))
what jobs require a bscs degree and desire an mscs degree ?	answer(A,(job(A),req_deg(A,B),const(B,BSCS),des_deg(A,M),const(M,MSCS)))
show me the jobs that are not in haskell ?	answer(A,(job(A),\+((language(A,L),const(L,haskell)))))
what jobs are there in austin for people with knowledge of the application oracle ?	answer(J, (job(J),loc(J,L),const(L,austin),application(J,A),const(A,oracle)))
list the companies that desire 'c++' experience ?	answer(C,(company(A,C),language(A,D),const(D,c++),des_exp(A)))
tell me the jobs requiring bs in usa ?	answer(_4315,(job(_4315),req_deg(_4315,_4332),const(_4332,BS),loc(_4315,_4342),const(_4342,usa)))
give me jobs in san antonio ?	answer(_2383,(job(_2383),loc(_2383,_2398),const(_2398,'san antonio')))
which jobs pay 60000 that do not require a phd ?	answer(A,(job(A),salary_greater_than(A,60000,year),\+((req_deg(A,D),const(D,PhD)))))
are there any software developer jobs requiring bs ?	answer(_1229,(title(_1229,_1242),const(_1242,'Software Developer'),job(_1229),req_deg(_1229,_1256),const(_1256,BS)))
what jobs require a bscs 4 years of experience pay 50000 and are in san jose ?	answer(E,(job(E),req_deg(E,A),const(A,BSCS),req_exp(E,B),const(B,4),salary_greater_than(E,50000,year),loc(E,D),const(D,'san jose')))
show me jobs at dell requiring no experience and a bscs ?	answer(A,(job(A),company(A,C),const(C,Dell),\+req_exp(A),req_deg(A,W),const(W,BSCS)))
what jobs are there for web developer who know 'c++' ?	answer(A,(job(A),title(A,W),const(W,'Web Developer'),language(A,C),const(C,c++)))
which system administrator jobs in dallas require 2 years experience and pay 50000 ?	answer(C,(title(C,A),const(A,'System Administrator'),job(C),loc(C,B),const(B,dallas),req_exp(C,D),const(D,2),salary_greater_than(C,50000,year)))
give some jobs in dallas on a sun system ?	answer(A,(job(A),loc(A,B),const(B,dallas),platform(A,C),const(C,sun)))
which jobs at trilogy deal with 'c++' ?	answer(A,(job(A),company(A,C),const(C,Trilogy),language(A,B),const(B,c++)))
give me jobs using visual 'c++' ?	answer(_5381,(job(_5381),language(_5381,_5396),const(_5396,'visual c++')))
what are the degree requirements for a software engineer ?	answer(A,(req_deg(B,A),title(B,T),const(T,'Software Engineer')))
show me the jobs that operate on sun ?	answer(A,(job(A),platform(A,P),const(P,sun)))
show me the jobs using lisp requiring a bscs ?	answer(A,(job(A),language(A,L),const(L,lisp),req_deg(A,D),const(D,BSCS)))
show me all of the software engineer jobs in austin ?	answer(B,(title(B,A),const(A,'Software Engineer'),job(B),loc(B,C),const(C,austin)))
show me jobs are dell requiring experience on unix ?	answer(A,(job(A),company(A,C),const(C,Dell),req_exp(A),platform(A,P),const(P,unix)))
are there any jobs for a data warehousing specialist ?	answer(_2861,(job(_2861),area(_2861,_2880),const(_2880,'data warehousing')))
are there any jobs using java that are not with ibm ?	answer(A,(job(A),language(A,L),const(L,java),\+((company(A,C),const(C,IBM)))))
tell me the jobs in '3d' graphics ?	answer(_1157,(job(_1157),area(_1157,_1174),const(_1174,'3d graphics')))
show me the job application for ic design engineer ?	answer(B,(job(B),title(B,A),const(A,'Ic Design Engineer')))
show jobs in austin that require a bscs ?	answer(A,(job(A),loc(A,C),const(C,austin),req_deg(A,D),const(D,BSCS)))
what jobs in austin desiring a bscs are there for a 'c++' programmer ?	answer(A, (job(A),loc(A,C),const(C,austin),des_deg(A,D),const(D,BSCS),language(A,P),const(P,c++)))
are there any jobs for a programmer ?	answer(J,(job(J),title(J,T),const(T,Programmer)))
list jobs using assembly ?	answer(_969,(job(_969),language(_969,_982),const(_982,assembly)))
any jobs available using database ?	answer(A,(job(A),area(A,B),const(B,database)))
what jobs need knowledge of 'c++' or java ?	answer(A,(job(A),((language(A,C),const(C,c++));(language(A,D),const(D,java)))))
list the positions that require a knowledge of microsoft excel ?	answer(A,(job(A),application(A,B),const(B,excel)))
what jobs in austin require no experience ?	answer(A,(job(A),loc(A,C),const(C,austin),\+req_exp(A)))
are there any jobs in austin requiring at least a bscs and knowing latex ?	answer(A,(job(A),loc(A,Z),const(Z,austin),req_deg(A,D),const(D,BSCS),language(A,L),const(L,latex)))
which jobs use visual 'j++' as their development tool ?	answer(A,(job(A),language(A,B),const(B,'visual j++')))
what jobs are there requiring bscs ?	answer(_3799,(job(_3799),req_deg(_3799,_3816),const(_3816,BSCS)))
give me the jobs in dallas ?	answer(_1001,(job(_1001),loc(_1001,_1018),const(_1018,dallas)))
what jobs use cobol on ibm machines and pay 70000 ?	answer(A,(job(A),language(A,C),const(C,cobol),platform(A,I),const(I,ibm),salary_greater_than(A,70000,year)))
what jobs at dell require a bscs ?	answer(B,(job(B),company(B,C),const(C,Dell),req_deg(B,A),const(A,BSCS)))
what are the jobs that pay 50000 per year ?	answer(J,(job(J),salary_greater_than(J,50000,year)))
are there any jobs specializing in ai with jpl ?	answer(A,(job(A),area(A,B),const(B,ai),company(A,C),const(C,JPL)))
what jobs using java and perl are available in dallas and pay 50000 a year ?	answer(A,(job(A),language(A,L),const(L,java),language(A,B),const(B,perl),loc(A,C),const(C,dallas),salary_greater_than(A,50000,year)))
what jobs are there in dallas that requires a mscs ?	answer(A,(job(A),loc(A,C),const(C,dallas),req_deg(A,D),const(D,MSCS)))
are there any jobs in 'c++' that the salary is 50000 ?	answer(A,(job(A),language(A,L),const(L,c++),salary_greater_than(A,50000,year)))
show the jobs offering 40000 working with c on windows nt ?	answer(A,(job(A),salary_greater_than(A,40000,year),language(A,L),const(L,c),platform(A,P),const(P,'windows nt')))
what jobs in austin require 5 years of experience but desire 10 years of experience ?	answer(A,(job(A),loc(A,D),const(D,austin),req_exp(A,B),const(B,5),des_exp(A,C),const(C,10)))
show me something that requires oracle ?	answer(J,(job(J),application(J,A),const(A,oracle)))
are there any programmer jobs open ?	answer(A,(job(A),title(A,P),const(P,Programmer)))
what jobs are there for pascal programers who dont know 'c++'	answer(A,(job(A),language(A,P),const(P,pascal),\+((language(A,C),const(C,c++)))))
show me the research assistant job in austin	answer(A,(title(A,C),const(C,'research assistant'),job(A),loc(A,B),const(B,austin)))
show jobs using cics ?	answer(_6389,(job(_6389),language(_6389,_6402),const(_6402,cics)))
does apple have any software engineer positions ?	answer(A,(company(A,B),const(B,Apple),title(A,C),const(C,'Software Engineer'),job(A)))
what jobs pay 40000 per year that require a bscs ?	answer(A,(job(A),salary_greater_than(A,40000,year),req_deg(A,D),const(D,BSCS)))
i hold a degree in bscs in austin are there any jobs for me ?	answer(A, (des_deg(A,B),const(B,BSCS),loc(A,P),const(P,austin),job(A)))
list jobs on sun ?	answer(_4367,(job(_4367),platform(_4367,_4380),const(_4380,sun)))
what jobs are there working for microsoft programming lisp for autocad ?	answer(C,(job(C),company(C,B),const(B,Microsoft),language(C,A),const(A,lisp),application(C,D),const(D,autocad)))
what programming languages are desired for a job as a programmer at ibm ?	answer(B,(language(A,B),job(A),title(A,D),const(D,Programmer),company(A,E),const(E,IBM)))
what jobs does lcs recruit for ?	answer(J,(job(J),recruiter(J,B),const(B,LCS)))
show me the jobs using java with salaries greater than 50000	answer(B,(job(B),language(B,L),const(L,java),salary_greater_than(B,50000,year)))
list the jobs in 'c++' ?	answer(_6843,(job(_6843),language(_6843,_6858),const(_6858,c++)))
what jobs are there for a '3d' graphics specialist ?	answer(_773,(job(_773),area(_773,_792),const(_792,'3d graphics')))
what jobs are there outside austin which pay less than 60000 per year ?	answer(A, (job(A),\+((loc(A,L),const(L,austin))),salary_less_than(A,60000,year)))
give me the jobs for a games specialist ?	answer(_1727,(job(_1727),area(_1727,_1746),const(_1746,games)))
are there any jobs for a client server specialist ?	answer(_4469,(job(_4469),area(_4469,_4488),const(_4488,client/server)))
what jobs are there in games ?	answer(_5345,(job(_5345),area(_5345,_5362),const(_5362,games)))
what jobs are there for a visual basic developer ?	answer(J,(job(J),language(J,L),const(L,'visual basic'),title(J,T),const(T,Developer)))
are there any jobs in the us with the title verification engineer ?	answer(A,(job(A),title(A,T),const(T,'Verification Engineer')))
what jobs are there that dont require a degree but use perl ?	answer(A,(job(A),\+req_deg(A),language(A,P),const(P,perl)))
are there any jobs requiring bsee ?	answer(_887,(job(_887),req_deg(_887,_904),const(_904,BSEE)))
which jobs use visual 'j++' as their development tool ?	answer(A,(job(A),language(A,B),const(B,'visual j++')))
show me jobs in austin using solaris that do not require a bscs ?	answer(A,(job(A),loc(A,B),const(B,austin),platform(A,C),const(C,solaris),\+((req_deg(A,D),const(D,BSCS)))))
what are the jobs that require experience with microsoft word ?	answer(J,(job(J),req_exp(J),application(J,M),const(M,'microsoft word')))
show me graphics jobs which phil smith is recruiting for ?	answer(A,(area(A,C),const(C,graphics),job(A),recruiter(A,B),const(B,'Phil Smith')))
give me jobs on the mac using perl ?	answer(J,(job(J),platform(J,P),const(P,mac),language(J,L),const(L,perl)))
whats available on vax and near austin ?	answer(J,(job(J),platform(J,P),const(P,vax),loc(J,L),const(L,austin)))
what positions are there in networking ?	answer(A,(job(A),area(A,N),const(N,networking)))
what jobs are there for austin mac programmer using 'c++' ?	answer(A,(job(A),loc(A,C),const(C,austin),platform(A,P),const(P,mac),title(A,T),const(T,Programmer),language(A,L),const(L,c++)))
what developer jobs in austin require a bscs and 'c++' ?	answer(A,(title(A,D),const(D,Developer),job(A),loc(A,U),const(U,austin),req_deg(A,B),const(B,BSCS),language(A,C),const(C,c++)))
what system administrator jobs are available from dell ?	answer(A,(title(A,S),const(S,'System Administrator'),job(A),company(A,C),const(C,Dell)))
what jobs need at least 2 years of experience ?	answer(J,(job(J),req_exp(J,E),const(E,2)))
what jobs are there on windows 95 ?	answer(_3761,(job(_3761),platform(_3761,_3778),const(_3778,'windows 95')))
what jobs do not require a degree but pay more than 60000 ?	answer(J, (job(J), \+req_deg(J),salary_greater_than(J,60000,year)))
what jobs pay 60000 are located in austin and require a degree ?	answer(A,(job(A),salary_greater_than(A,60000,year),loc(A,C),const(C,austin),req_deg(A)))
show me the jobs at companies in austin that want a degree in bscs	answer(A,(job(A),loc(A,C),const(C,austin),des_deg(A,B),const(B,BSCS)))
are there any jobs requiring bsee ?	answer(_887,(job(_887),req_deg(_887,_904),const(_904,BSEE)))
give me jobs in dallas ?	answer(_1659,(job(_1659),loc(_1659,_1674),const(_1674,dallas)))
what jobs using fortran are there in los alamos ?	answer(J,(job(J),language(J,F),const(F,fortran),loc(J,L),const(L,'los alamos')))
what jobs in dallas require experience with unix ?	answer(A,(job(A),loc(A,C),const(C,dallas),req_exp(A),platform(A,U),const(U,unix)))
show me the jobs using 'c++' that require a bscs but desire a mscs ?	answer(C,(job(C),language(C,L),const(L,c++),req_deg(C,D),const(D,BSCS),des_deg(C,E),const(E,MSCS)))
show the jobs in visual 'c++' ?	answer(_5605,(job(_5605),language(_5605,_5620),const(_5620,'visual c++')))
are there any jobs using assembly in usa ?	answer(_1921,(job(_1921),language(_1921,_1938),const(_1938,assembly),loc(_1921,_1948),const(_1948,usa)))
are there any jobs in austin ?	answer(_1369,(job(_1369),loc(_1369,_1386),const(_1386,austin)))
what programmer positions in austin require no experience ?	answer(A,(title(A,T),const(T,Programmer),job(A),loc(A,C),const(C,austin),\+req_exp(A)))
find all network administration jobs in austin ?	answer(D,(area(D,Z),const(Z,network),job(D),loc(D,C),const(C,austin)))
what jobs have a salary greater than 20 and hour ?	answer(A,(job(A),salary_greater_than(A,20,hour)))
whats in dallas that pays over 60000 on linux with graphics and java ?	answer(J,(job(J),loc(J,L),const(L,dallas),salary_greater_than(J,60000,year),platform(J,P),const(P,linux),area(J,A),const(A,graphics),language(J,G),const(G,java)))
what jobs in california require java and internet experience ?	answer(J,(job(J),loc(J,L),const(L,california),language(J,G),const(G,java),area(J,A),const(A,internet),req_exp(J)))
list jobs requiring bsee ?	answer(_7125,(job(_7125),req_deg(_7125,_7138),const(_7138,BSEE)))
what job is there for 'c++' but not visual 'c++' ?	answer(J,(job(J),language(J,L),const(L,c++),\+((language(J,V),const(V,'visual c++')))))
what jobs are there which require java on windows and unix ?	answer(A, (job(A),language(A,M),const(M,java),platform(A,W),const(W,windows),platform(A,L),const(L,unix)))
what jobs are there doing computer graphics on silicon graphics machines ?	answer(A,(job(A),area(A,B),const(B,graphics),platform(A,C),const(C,'silicon graphics')))
show jobs requiring bsee ?	answer(_343,(job(_343),req_deg(_343,_356),const(_356,BSEE)))
show me all job that are available	answer(J,job(J))
show jobs in usa ?	answer(_3007,(job(_3007),loc(_3007,_3020),const(_3020,usa)))
what jobs are there in austin for project manager area games on mac using pascal ?	answer(A,(job(A),loc(A,B),const(B,austin),title(A,T),const(T,'Project Manager'),area(A,K),const(K,games),platform(A,W),const(W,mac),language(A,L),const(L,pascal)))
all ?	answer(J,job(J))
are there any jobs on sun ?	answer(_7057,(job(_7057),platform(_7057,_7074),const(_7074,sun)))
are there any jobs that require the knowledge of linux platform ?	answer(A,(job(A),platform(A,P),const(P,linux)))
greed for 80000 and java plagues developer wanting to live in san jose at apple ?	answer(J,(job(J),salary_greater_than(J,80000,year),language(J,G),const(G,java),title(J,T),const(T,'Software Developer'),loc(J,L),const(L,'san jose'),company(J,C),const(C,Apple)))
what jobs are there with a salary of 40000 ?	answer(A,(job(A),salary_greater_than(A,40000,year)))
what jobs are there for a '3d' graphics specialist ?	answer(_773,(job(_773),area(_773,_792),const(_792,'3d graphics')))
which jobs offer me 40000 to work on internet and web with perl ?	answer(J,(job(J),salary_greater_than(J,40000,year),area(J,A),const(A,internet),area(J,B),const(B,web),language(J,G),const(G,perl)))
what jobs are there for 'c++' unix developer ?	answer(A,(job(A),language(A,L),const(L,c++),platform(A,P),const(P,unix),title(A,D), const(D,Developer)))
what are the jobs that require experience with microsoft word ?	answer(J,(job(J),req_exp(J),application(J,M),const(M,'microsoft word')))
show me austin jobs with a salary of 50000	answer(D,(loc(D,C),const(C,austin),job(D),salary_greater_than(D,50000,year)))
show me the research assistant job in austin	answer(A,(title(A,C),const(C,'research assistant'),job(A),loc(A,B),const(B,austin)))
what jobs are there for a test engineer using java ?	answer(A,(job(A),title(A,T),const(T,'Test Engineer'),language(A,L),const(L,java)))
show jobs in html ?	answer(_6179,(job(_6179),language(_6179,_6192),const(_6192,html)))
show me jobs in computer graphics requiring a ba in art and knowledge of 'speedy3dgraphics' ?	answer(A,(job(A),area(A,S),const(S,graphics),req_deg(A,D),const(D,BA),application(A,X),const(X,speedy3dgraphics)))
show me developer jobs requiring experience with mac ?	answer(A,(title(A,T),const(T,Developer),job(A),req_exp(A),platform(A,P),const(P,mac)))
what database jobs are there ?	answer(J,(job(J),area(J,A),const(A,database)))
what jobs are available that require java but not internet experience or ai experience ?	answer(A,(job(A),language(A,J),const(J,java),\+(((area(A,I),const(I,internet),req_exp(A));(area(A,C),const(C,ai),req_exp(A))))))
show the jobs requiring bs in usa ?	answer(_5487,(job(_5487),req_deg(_5487,_5502),const(_5502,BS),country(_5487,_5512),const(_5512,usa)))
are there any mac jobs open ?	answer(J, (platform(J,P),const(P,mac),job(J)))
show me jobs for dell requiring experience on unix ?	answer(A,(job(A),company(A,C),const(C,Dell),req_exp(A),platform(A,P),const(P,unix)))
show the jobs in austin ?	answer(_4927,(job(_4927),loc(_4927,_4942),const(_4942,austin)))
show me the jobs in texas using ai on unix ?	answer(A,(job(A),loc(A,S),const(S,texas),area(A,B),const(B,ai),platform(A,P),const(P,unix)))
show me austin jobs requiring a bscs ?	answer(A,(job(A),loc(A,C),const(C,austin),req_deg(A,D),const(D,BSCS)))
show jobs for a shell programmer familiar with the unix environment ?	answer(J,(job(J),language(J,L),const(L,shell),platform(J,P),const(P,unix)))
show me houston jobs using c in the specialty area of oil pipeline modeling ?	answer(A,(loc(A,P),const(P,houston),job(A),language(A,L),const(L,c),area(A,S),const(S,'oil pipeline modeling')))
which jobs in houston offer over 50000 in graphics ?	answer(A,(job(A),loc(A,C),const(C,houston),salary_greater_than(A,50000,year),area(A,B),const(B,graphics)))
all of it ?	answer(J,job(J))
what jobs pay at least 80000 dollars per year ?	answer(J, (job(J),salary_greater_than(J,80000,year)))
i wish there were some perl jobs in boston ?	answer(J,(job(J),language(J,L),const(L,perl),loc(J,C),const(C,boston)))
if i moved to california and learned sql on oracle could i find anything for 30000 on unix ?	answer(J,(job(J),loc(J,L),const(L,california),language(J,G),const(G,sql),application(J,N),const(N,oracle),salary_greater_than(J,30000,year),platform(J,P),const(P,unix)))
all the jobs please ?	answer(J,job(J))
what jobs require 'c++' and pays a salary greater than 90000 per year ?	answer(A, (job(A),language(A,C),const(C,c++),salary_greater_than(A,90000,year)))
tell me the jobs using visual basic ?	answer(_1549,(job(_1549),language(_1549,_1566),const(_1566,'visual basic')))
are there any autocad jobs open ?	answer(A,(application(A,B),const(B,autocad),job(A)))
what jobs require a degree for pascal programmers who do not know 'c++' ?	answer(A,(job(A),req_deg(A),language(A,P),const(P,pascal),\+((language(A,C),const(C,c++)))))
show a list of jobs requiring experience in 'c++' or java ?	answer(A,(job(A),req_exp(A),((language(A,C),const(C,c++));(language(A,J),const(J,java)))))
list jobs requiring bscs using java ?	answer(_689,(job(_689),req_deg(_689,_702),const(_702,BSCS),language(_689,_712),const(_712,java)))
